date,day,time_uk,week,platform,format,idea_id,pillar,title,hook,status
2026-08-24,Monday,08:30,1,x,tweet,X-001,sarcasm,Loyalty is a hostage situation,Been with them 8 years.,Draft
2026-08-24,Monday,18:30,1,instagram,story,X-005,british-life,Story: 89th minute,Reply ⚽ if this has happened to you. Reply 📉 if it happened tonight.,Draft
2026-08-25,Tuesday,12:30,1,instagram,feed,X-002,meme,Yellow warning of buffering,YELLOW WARNING OF BUFFERING,Draft
2026-08-25,Tuesday,19:00,1,instagram,story,X-006,quote,Story: Socrates pays the bill,Quote-tweet the wisest thing a philosopher never said about your ISP.,Draft
2026-08-26,Wednesday,08:30,1,tiktok,tiktok,X-003,quote,Keep calm and restart the router,Keep calm and restart the router,Draft
2026-08-26,Wednesday,18:30,1,instagram,story,X-007,british-life,Story: Router in the cupboard,Unpopular opinion time. Router in cupboard: yes or are you a maniac who put it in the attic?,Draft
2026-08-27,Thursday,12:30,1,x,tweet,X-004,pun,Up to,“Up to 67 Mbps”,Draft
2026-08-27,Thursday,19:00,1,instagram,story,X-008,sarcasm,Story: Engineer window,"What's the longest engineer window you've been given? Winner gets absolutely nothing, like the engineer.",Draft
2026-08-28,Friday,12:00,1,instagram,reel,X-005,british-life,89th minute,Nothing unites Britain like the Wi-Fi dying in the 89th minute.,Draft
2026-08-28,Friday,19:30,1,instagram,story,X-009,british-life,Story: Full fibre is coming,"If full fibre actually arrived at yours, reply with the year you were first promised it. Archaeological survey.",Draft
2026-08-29,Saturday,10:00,1,x,tweet,X-006,quote,Socrates pays the bill,The unexamined broadband bill is not worth paying.,Draft
2026-08-30,Sunday,10:00,1,x,tweet,X-007,british-life,Router in the cupboard,Your router is in the cupboard under the stairs.,Draft
2026-08-25,Tuesday,09:30,1,linkedin,linkedin,X-025,b2b,Providers: we will list you anyway,We will list your broadband even if you never pay us a penny.,Draft
2026-08-28,Friday,09:30,1,linkedin,linkedin,X-034,b2b,Awin-ready publisher energy,Comparison sites that only shout 'CHEAPEST DEAL' are why advertisers invented brand guidelines.,Draft
2026-08-31,Monday,08:30,2,x,tweet,X-008,sarcasm,Engineer window,We'll be there between 8 and 6.,Draft
2026-08-31,Monday,18:30,2,instagram,story,X-012,british-life,Story: Flatshare FIFA,Tag the housemate who streams in 4K 'because it's there'. Go on. Start the war in the comments.,Draft
2026-09-01,Tuesday,12:30,2,instagram,feed,X-009,british-life,Full fibre is coming,Full fibre is coming to your area.,Draft
2026-09-01,Tuesday,19:00,2,instagram,story,X-013,useful-funny,Story: Social tariff scandal,Share this even if it isn't you. Especially if it might be your parents.,Draft
2026-09-02,Wednesday,08:30,2,tiktok,tiktok,X-010,meme,Drake / out of contract,Paying the out-of-contract price vs spending four minutes comparing.,Draft
2026-09-02,Wednesday,18:30,2,instagram,story,X-014,quote,Story: Ask not what your ISP can do,What's the most useless thing an ISP chatbot has said to you? We'll make a shrine.,Draft
2026-09-03,Thursday,12:30,2,x,tweet,X-011,pun,Fibre I barely know her,They said I was getting fibre.,Draft
2026-09-03,Thursday,19:00,2,instagram,story,X-015,pun,Story: Bandwidth like a British summer,"Other British things my broadband is like: a queue, a rail replacement bus, a barbecue in March…",Draft
2026-09-04,Friday,12:00,2,instagram,reel,X-012,british-life,Flatshare FIFA,4 people. 1 router. 3 FaceTimes. 1 FIFA.,Draft
2026-09-04,Friday,19:30,2,instagram,story,X-016,sarcasm,"Story: April, the other tax month","If a provider has emailed you an April rise, drop the £ amount (not your account number, we're not animals).",Draft
2026-09-05,Saturday,10:00,2,x,tweet,X-013,useful-funny,Social tariff scandal,There's cheaper broadband if you're on certain benefits. Most eligible people have never heard of it.,Draft
2026-09-06,Sunday,10:00,2,x,tweet,X-014,quote,Ask not what your ISP can do,Ask not what your ISP can do for you.,Draft
2026-09-01,Tuesday,09:30,2,linkedin,linkedin,X-025,b2b,Providers: we will list you anyway,We will list your broadband even if you never pay us a penny.,Draft
